Id,TrainNo,SourceCode,DestinationCode,Cars,StartingFrom,EndAt,DepartureTime,ArrivalTime,Type,Quota,DaysOfRun
90,47111,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,11:55AM,12:07PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
91,47112,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,1:05PM,1:17PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
92,47113,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,2:30PM,2:42PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
93,47114,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,3:10PM,3:22PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
94,47115,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,3:40PM,3:52PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
95,47116,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,4:00PM,4:12PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
96,47117,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,4:50PM,5:02PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
97,47118,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,5:35PM,5:47PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
98,47119,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,6:05PM,6:17PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
99,47120,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,7:00PM,7:12PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
100,47121,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,7:30PM,7:42PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
101,47122,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,8:00PM,8:12PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
102,47123,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,8:50PM,9:02PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
103,47124,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,9:20PM,9:32PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
104,47125,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,9:50PM,10:02PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
105,47100,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,5:10AM,5:24AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
106,47101,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,6:00AM,6:14AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
107,47102,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,6:40AM,6:54AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
108,47103,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,7:20AM,7:34AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
109,47104,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,7:50AM,8:04AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
110,47105,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,8:20AM,8:34AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
111,47106,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,9:00AM,9:14AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
112,47107,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,9:35AM,9:49AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
113,47108,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,10:10AM,10:24AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
114,47109,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,10:50AM,11:04AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
