Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare
Alandur,Anna Nagar East,21Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East:,10,0,40
Alandur,Anna Nagar Tower,19Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower:,9,0,40
Alandur,Arumbakkam,10Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam:,5,0,30
Alandur,Ashok Nagar,5Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar:,3,0,15
Alandur,Chennai Central,35Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park: Egmore: Chennai Central:,16,0,50
Alandur,CMBT,12Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT:,6,0,35
Alandur,Egmore,32Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park: Egmore:,15,0,50
Alandur,Ekkattuthangal,2Min,@Green: Alandur: Ekkattuthangal:,2,0,10
Alandur,Guindy,3Min,@Blue: Alandur: Guindy:,2,0,10
Alandur,Kilpauk Medical College,27Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College:,13,0,45
Alandur,Koyambedu,14Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu:,7,0,35
Alandur,Little Mount,6Min,@Blue: Alandur: Guindy: Little Mount:,3,0,15
Alandur,Meenambakkam,7Min,@Blue: Alandur: Nanganallur Road: Meenambakkam:,3,0,15
Alandur,Nandanam,12Min,@Blue: Alandur: Guindy: Little Mount: Saidapet: Nandanam:,5,0,25
Alandur,Nanganallur Road,3Min,@Blue: Alandur: Nanganallur Road:,2,0,10
Alandur,Nehru Park,29Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park:,14,0,45
Alandur,Pachaiyappas College,25Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College:,12,0,45
Alandur,Saidapet,9Min,@Blue: Alandur: Guindy: Little Mount: Saidapet:,4,0,25
Alandur,Shenoy Nagar,23Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar:,11,0,45
Alandur,St Thomas Mount,3Min,@Green: Alandur: St Thomas Mount:,2,0,10
Alandur,Teynampet,14Min,@Blue: Alandur: Guindy: Little Mount: Saidapet: Nandanam: Teynampet:,6,0,30
Alandur,Thirumangalam,17Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam:,8,0,40
Alandur,Vadapalani,8Min,@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani:,4,0,25
Anna Nagar East,AG-DMS,37Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount: Saidapet: Nandanam: Teynampet: AG-DMS:,16,1,50
Anna Nagar East,Airport,31Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Nanganallur Road: Meenambakkam: Airport:,13,1,50
Anna Nagar East,Alandur,21Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:,10,0,40
Anna Nagar East,Anna Nagar Tower,2Min,@Green: Anna Nagar East: Anna Nagar Tower:,2,0,10
Anna Nagar East,Arumbakkam,11Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam:,6,0,30
