Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare,Concessional Fare(Sunday and national holiday)
Assembly,Jubilee Hills Road No 5,19 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5:,9,1,35,35
Assembly,Khairatabad,4 Min,@Red: Assembly: Lakdikapul: Khairatabad:,3,0,15,15
Assembly,KPHB Colony,29 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar: Kukatpally: KPHB Colony:,14,0,40,40
Assembly,Kukatpally,26 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar: Kukatpally:,13,0,40,40
Assembly,Lakdikapul,2 Min,@Red: Assembly: Lakdikapul:,2,0,10,10
Assembly,LB Nagar,23 Min,@Red: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet: New Market: Musarambagh: Dilsukhnagar: Chaitanyapuri: Victoria Memorial: LB Nagar:,12,0,40,40
Assembly,Madhapur,26 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5: Jubilee Hills Check Post: Pedamma Temple: Madhapur:,12,1,40,40
Assembly,Madhura Nagar,14 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Madhura Nagar:,7,1,30,30
Assembly,Malakpet,10 Min,@Red: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet:,6,0,25,25
Assembly,Mettuguda,28 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds: Secunderabad: Mettuguda:,13,1,45,45
Assembly,MG Bus station,8 Min,@Red: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station:,5,0,15,15
Assembly,Miyapur,35 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar: Kukatpally: KPHB Colony: JNTU College: Miyapur:,16,0,45,45
Assembly,Moosapet,22 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet:,11,0,40,40
Assembly,Musarambagh,14 Min,@Red: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet: New Market: Musarambagh:,8,0,25,25
Assembly,Nagole,41 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds: Secunderabad: Mettuguda: Tarnaka: Habsiguda: NGRI: Uppal Stadium: Uppal: Nagole:,19,1,55,55
Assembly,Nampally,2 Min,@Red: Assembly: Nampally:,2,0,10,10
Assembly,New Market,12 Min,@Red: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet: New Market:,7,0,25,25
Assembly,NGRI,35 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds: Secunderabad: Mettuguda: Tarnaka: Habsiguda: NGRI:,16,1,50,50
Assembly,Osmania Medical College,6 Min,@Red: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College:,4,0,15,15
